id,timestamp,ip,username,successful_auth
1,2023-03-06T10:54:46.479Z,243.244.243.68,banana12,false
2,2023-03-06T10:54:46.479Z,242.204.136.223,namteg,true
3,2023-03-06T10:54:46.479Z,02.18.234.219,maurrika,false
4,2023-03-06T10:54:46.479Z,241.214.022.213,tester1,true
5,2023-03-06T10:54:46.479Z,252.082.218.036,melstarr79,false
6,2023-03-06T10:54:46.479Z,254.255.10.250,Godwolf,true
7,2023-03-06T10:54:46.479Z,255.250.15.251,nortoz3054,false
8,2023-03-06T10:54:46.479Z,12.209.018.254,poletvetra,false
9,2023-03-06T10:54:46.480Z,235.235.223.252,vesnas1,false
10,2023-03-06T10:54:46.480Z,254.216.255.252,joerg-knoer,false
11,2023-03-06T10:54:46.480Z,250.88.255.85,RBFREE,false
12,2023-03-06T10:54:46.480Z,230.205.00.205,rtarnold,false
13,2023-03-06T10:54:46.480Z,4.226.46.7,quitmann,false
14,2023-03-06T10:54:46.480Z,063.207.255.208,snarky,true
15,2023-03-06T10:54:46.480Z,252.206.170.63,peado12,false
16,2023-03-06T10:54:46.480Z,0.133.9.045,feelme,false
17,2023-03-06T10:54:46.480Z,05.250.203.249,Bobalouie,false
18,2023-03-06T10:54:46.480Z,250.37.56.255,antoine.berchet,true
19,2023-03-06T10:54:46.480Z,76.254.9.4,afvraten,false
20,2023-03-06T10:54:46.480Z,254.254.252.6,Nvasichkin,true
21,2023-03-06T10:54:46.480Z,254.11.217.231,tang.kelv,true
22,2023-03-06T10:54:46.480Z,253.250.4.21,procarlosgomez,true
23,2023-03-06T10:54:46.480Z,46.105.225.134,insaneotaku,true
24,2023-03-06T10:54:46.480Z,248.6.6.212,mara_zep,true
25,2023-03-06T10:54:46.480Z,04.210.253.250,saprykin-a,false
26,2023-03-06T10:54:46.480Z,225.238.03.255,w1234,true
27,2023-03-06T10:54:46.480Z,254.251.250.201,peterchocho,false
28,2023-03-06T10:54:46.480Z,231.2.9.124,loonyga,true
29,2023-03-06T10:54:46.480Z,253.250.213.253,rus.hoodlum.kz,false
30,2023-03-06T10:54:46.480Z,73.228.222.250,mdmike301,false
31,2023-03-06T10:54:46.480Z,253.251.250.207,Lasoschy,false
32,2023-03-06T10:54:46.480Z,253.255.218.04,slavacoroll,true
33,2023-03-06T10:54:46.480Z,9.253.200.230,austenadams,false
34,2023-03-06T10:54:46.480Z,5.002.243.229,peter69dunn,false
35,2023-03-06T10:54:46.480Z,55.017.250.243,quadenergetic,false
36,2023-03-06T10:54:46.480Z,82.254.219.244,krot35ttt,true
37,2023-03-06T10:54:46.480Z,217.217.228.251,awecvbnm,true
38,2023-03-06T10:54:46.480Z,208.251.255.233,gabriel.loncar,false
39,2023-03-06T10:54:46.480Z,00.218.217.6,cfyz95,true
40,2023-03-06T10:54:46.480Z,6.250.192.0,tootyfooty,false
41,2023-03-06T10:54:46.480Z,222.222.237.211,demila54,false
42,2023-03-06T10:54:46.480Z,255.205.233.13,twi4nity,true
43,2023-03-06T10:54:46.480Z,249.09.254.255,kismitt,true
44,2023-03-06T10:54:46.480Z,253.254.086.228,andrejj-suppes,true
45,2023-03-06T10:54:46.480Z,4.073.146.209,Letovanadezda,false
46,2023-03-06T10:54:46.480Z,233.236.11.44,gainitdinova.roz,true
47,2023-03-06T10:54:46.480Z,215.231.231.255,niklaev_victor,true
48,2023-03-06T10:54:46.480Z,251.231.15.06,travis.rowland,true
49,2023-03-06T10:54:46.480Z,203.77.243.068,0hdz7cwu20,false
50,2023-03-06T10:54:46.480Z,253.251.156.247,guzgarend,false
51,2023-03-06T10:54:46.480Z,203.252.250.202,adampimp1,false
52,2023-03-06T10:54:46.480Z,242.214.211.254,westerchen,true
53,2023-03-06T10:54:46.480Z,250.229.05.236,222222293,false
54,2023-03-06T10:54:46.480Z,237.074.254.252,francyne.agata,true
55,2023-03-06T10:54:46.480Z,237.252.251.040,punk_kileer,false
56,2023-03-06T10:54:46.480Z,7.255.079.231,kristinakarjukina,false
57,2023-03-06T10:54:46.480Z,250.218.241.248,sklenkele,true
